City_ID,City,Country,AQI_Value,AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM2.5_AQI_Value,PM2.5_AQI_Category
4204,Venlo,Netherlands,50,Good,1,Good,37,Good,1,Good,50,Good
4205,Venustiano Carranza,Mexico,46,Good,1,Good,29,Good,0,Good,46,Good
4206,Viedma,Argentina,23,Good,0,Good,16,Good,0,Good,23,Good
4207,Engels,Russian Federation,40,Good,1,Good,40,Good,1,Good,28,Good
4208,Enid,United States of America,49,Good,1,Good,45,Good,1,Good,49,Good
4209,Erattupetta,India,96,Moderate,2,Good,16,Good,5,Good,96,Moderate
4210,Esil,Kazakhstan,80,Moderate,1,Good,27,Good,0,Good,80,Moderate
4211,Esperanca,Brazil,24,Good,0,Good,24,Good,0,Good,19,Good
4212,Espinosa,Brazil,23,Good,0,Good,23,Good,0,Good,18,Good
4213,Eten,Peru,50,Good,0,Good,24,Good,0,Good,50,Good
4214,Excelsior Springs,United States of America,56,Moderate,1,Good,47,Good,2,Good,56,Moderate
4215,Falkirk,United Kingdom of Great Britain and Northern Ireland,37,Good,1,Good,37,Good,1,Good,35,Good
4216,Fengxian,China,151,Unhealthy,6,Good,101,Unhealthy for Sensitive Groups,15,Good,151,Unhealthy
4217,Ferry Pass,United States of America,86,Moderate,2,Good,86,Moderate,1,Good,39,Good
4218,Fianarantsoa,Madagascar,47,Good,1,Good,17,Good,0,Good,47,Good
4219,Fiche,Ethiopia,68,Moderate,1,Good,27,Good,0,Good,68,Moderate
4220,Foggia,Italy,62,Moderate,1,Good,62,Moderate,0,Good,54,Moderate
4221,Fontenay Sous Bois,France,70,Moderate,1,Good,46,Good,1,Good,70,Moderate
4222,Foumban,Cameroon,40,Good,1,Good,15,Good,0,Good,40,Good
4223,Fountain Valley,United States of America,63,Moderate,2,Good,27,Good,13,Good,63,Moderate
4224,Franklin,United States of America,48,Good,1,Good,43,Good,1,Good,48,Good
4225,Fukiage,Japan,83,Moderate,2,Good,18,Good,18,Good,83,Moderate
4226,Fukue,Japan,46,Good,1,Good,46,Good,1,Good,46,Good
4227,Galion,United States of America,47,Good,1,Good,37,Good,2,Good,47,Good
